"ID","MANAGER.x","MATCHES","WIN","PRESENT","NoMM","NoMY","TW"
"120",120,"Stuart Gray",20,25,0,0,0,0
"121",121,"Felix Magath",12,25,0,0,0,0
"122",122,"Keith Downing",4,25,0,0,0,0
"123",123,"Alex McLeish",138,24,0,1,0,0
"124",124,"John Lyall",102,24,0,0,0,0
"125",125,"Graham Taylor",89,24,0,0,0,0
"126",126,"Ian Holloway",46,24,0,0,0,0
"127",127,"Brian Clough",42,24,0,0,0,0
"128",128,"David Merrington",38,24,0,1,0,0
"129",129,"Brian Kidd",25,24,0,1,0,0
"130",130,"Neil Warnock",74,23,1,0,0,0
"131",131,"Gus Poyet",60,23,0,0,0,0
"132",132,"Eddie Gray",26,23,0,0,0,0
"133",133,"Rene Meulensteen",13,23,0,0,0,0
"134",134,"Gary Megson",37,22,0,1,0,0
"135",135,"John Deehan",54,22,0,0,0,0
"136",136,"Steve Kean",59,22,0,0,0,0
"137",137,"Paul Hart",27,22,0,0,0,0
"138",138,"Ricky Sbragia",23,22,0,0,0,0
"139",139,"Malky Mackay",18,22,0,0,0,0
"140",140,"Velimir Zajec",18,22,0,0,0,0
"141",141,"Dave Bassett",131,21,0,0,0,0
"142",142,"Tony Mowbray",38,21,0,0,0,0
"143",143,"Alan Irvine",19,21,0,0,0,0
"144",144,"Mick McCarthy",138,20,0,0,0,0
"145",145,"Nigel Adkins",30,20,0,0,0,0
"146",146,"Alex Neil",30,20,0,0,0,0
"147",147,"Alain Perrin",20,20,0,0,0,0
"148",148,"John Carver",20,20,0,0,0,0
"149",149,"Phil Brown",67,19,0,1,0,0
"150",150,"Sean Dyche",38,18,0,0,0,0
"151",151,"Egil Roger Olsen",38,18,0,0,0,0
"152",152,"Nigel Worthington",38,18,0,0,0,0
"153",153,"Dick Advocaat",17,18,0,0,0,0
"154",154,"Paul Ince",17,18,0,0,0,0
"155",155,"Iain Dowie",59,17,0,0,0,0
"156",156,"Brian McDermott",29,17,0,1,0,0
"157",157,"Jim Jefferies",24,17,0,0,0,0
"158",158,"Pepe Mel",18,17,0,0,0,0
"159",159,"Ole Gunnar Solskjaer",18,17,0,0,0,0
"160",160,"Brian Laws",18,17,0,0,0,0
"161",161,"Paolo Di Canio",12,17,0,0,0,0
"162",162,"Mickey Adams",43,16,0,0,0,0
"163",163,"Chris Ramsey",13,15,0,0,0,0
"164",164,"Lawrie Sanchez",22,14,0,0,0,0
"165",165,"Dave Watson",7,14,0,0,0,0
"166",166,"Les Reed",7,14,0,0,0,0
"167",167,"Aidy Boothroyd",38,13,0,0,0,0
"168",168,"Mark McGhee",24,13,0,0,0,0
"169",169,"Chris Hutchings",24,13,0,0,0,0
"170",170,"Tony Adams",15,13,0,0,0,0
"171",171,"Keith Millen",8,13,0,0,0,0
"172",172,"Alan Shearer",8,13,0,0,0,0
"173",173,"John Gorman",42,12,0,0,0,0
"174",174,"Rémi Garde",19,11,1,0,0,0
"175",175,"Roy McFarland",22,9,0,0,0,0
"176",176,"Sammy Lee",11,9,0,0,0,0
"177",177,"Kevin Ball",12,8,0,0,0,0
"178",178,"Billy Davies",14,7,0,0,0,0
"179",179,"Steve Wigley",16,6,0,0,0,0
